Time [s],T_g [K],T_l [K],T_i [K],p_g [Pa],ml [kg],mv [kg],ma [kg]
5.150985005695999064e+01,1.162959084750196439e+02,7.737341262588601865e+01,7.844269642148931609e+01,2.813919694986790419e+05,2.950038029202650680e-01,8.502680880795996559e-04,6.109185312721706598e-05
5.157221065024928919e+01,1.162882879577524591e+02,7.737343491950279883e+01,7.844227245172952223e+01,2.813722296554782661e+05,2.950038087976348256e-01,8.502622107098375568e-04,6.109185312721706598e-05
5.163457124353858063e+01,1.162806693573037222e+02,7.737345720381904357e+01,7.844184892244038565e+01,2.813524946773680858e+05,2.950038146747210877e-01,8.502563336235970364e-04,6.109185312721706598e-05
5.169693183682787918e+01,1.162730526720822866e+02,7.737347947884551047e+01,7.844142583271350588e+01,2.813327645603254787e+05,2.950038205515241874e-01,8.502504568204711935e-04,6.109185312721706598e-05
5.175929243011717773e+01,1.162654379007431658e+02,7.737350174459136554e+01,7.844100318063364341e+01,2.813130393009507097e+05,2.950038264280445688e-01,8.502445803001155772e-04,6.109185312721706598e-05
5.182165302340647628e+01,1.162578250415437537e+02,7.737352400106837536e+01,7.844058096594292806e+01,2.812933188948361203e+05,2.950038323042826205e-01,8.502387040620844718e-04,6.109185312721706598e-05
5.188401361669577483e+01,1.162502140936095287e+02,7.737354624828253691e+01,7.844015918731734871e+01,2.812736033397725550e+05,2.950038381802385645e-01,8.502328281061529054e-04,6.109185312721706598e-05
5.194637420998507338e+01,1.162426050551676298e+02,7.737356848624587258e+01,7.843973784319294396e+01,2.812538926312755793e+05,2.950038440559128450e-01,8.502269524318656216e-04,6.109185312721706598e-05
5.200873480327437193e+01,1.162349979253440324e+02,7.737359071496430829e+01,7.843931693278057082e+01,2.812341867671384243e+05,2.950038499313056839e-01,8.502210770389994916e-04,6.109185312721706598e-05
5.207109539656367048e+01,1.162273927021127946e+02,7.737361293445158594e+01,7.843889645493061380e+01,2.812144857422336936e+05,2.950038558064176364e-01,8.502152019270298698e-04,6.109185312721706598e-05
5.213345598985296903e+01,1.162197893844430894e+02,7.737363514471469728e+01,7.843847640860344939e+01,2.811947895539567107e+05,2.950038616812489800e-01,8.502093270956924279e-04,6.109185312721706598e-05
5.219581658314226758e+01,1.162121879714824786e+02,7.737365734575941190e+01,7.843805679231570593e+01,2.811750982001539087e+05,2.950038675557998813e-01,8.502034525447690243e-04,6.109185312721706598e-05
5.225817717643155902e+01,1.162045884613174138e+02,7.737367953759874695e+01,7.843763760512072736e+01,2.811554116759829922e+05,2.950038734300708954e-01,8.501975782737633113e-04,6.109185312721706598e-05
5.232053776972085757e+01,1.161969908526461097e+02,7.737370172024154158e+01,7.843721884632849140e+01,2.811357299781515612e+05,2.950038793040622997e-01,8.501917042823405957e-04,6.109185312721706598e-05
5.238289836301015612e+01,1.161893951443580590e+02,7.737372389369528491e+01,7.843680051428614775e+01,2.811160531038517947e+05,2.950038851777744275e-01,8.501858305702124797e-04,6.109185312721706598e-05
5.244525895629945467e+01,1.161818013353367718e+02,7.737374605796757976e+01,7.843638260781807503e+01,2.810963810502609704e+05,2.950038910512075563e-01,8.501799571370912160e-04,6.109185312721706598e-05
5.250761954958875322e+01,1.161742094233091649e+02,7.737376821307383068e+01,7.843596512666752574e+01,2.810767138116231072e+05,2.950038969243622411e-01,8.501740839823837461e-04,6.109185312721706598e-05
5.256998014287805177e+01,1.161666194080926715e+02,7.737379035901530244e+01,7.843554806870362484e+01,2.810570513874830212e+05,2.950039027972385930e-01,8.501682111060456177e-04,6.109185312721706598e-05
5.263234073616735031e+01,1.161590312874630939e+02,7.737381249580708698e+01,7.843513143337645488e+01,2.810373937722090632e+05,2.950039086698371671e-01,8.501623385074967825e-04,6.109185312721706598e-05
5.269470132945664886e+01,1.161514450604249333e+02,7.737383462345593443e+01,7.843471521958935000e+01,2.810177409632839262e+05,2.950039145421581854e-01,8.501564661864787669e-04,6.109185312721706598e-05
5.275706192274594741e+01,1.161438607257335036e+02,7.737385674197024343e+01,7.843429942592814541e+01,2.809980929575586924e+05,2.950039204142019811e-01,8.501505941426672859e-04,6.109185312721706598e-05
5.281942251603523886e+01,1.161362782818101209e+02,7.737387885136077159e+01,7.843388405181691780e+01,2.809784497510370566e+05,2.950039262859689981e-01,8.501447223756495837e-04,6.109185312721706598e-05
5.288178310932453741e+01,1.161286977277689516e+02,7.737390095163350168e+01,7.843346909596719740e+01,2.809588113414800027e+05,2.950039321574594586e-01,8.501388508851959180e-04,6.109185312721706598e-05
5.294414370261383596e+01,1.161211190621766036e+02,7.737392304279821076e+01,7.843305455745849031e+01,2.809391777252595057e+05,2.950039380286736956e-01,8.501329796709312632e-04,6.109185312721706598e-05
5.300650429590313450e+01,1.161135422836601805e+02,7.737394512486415010e+01,7.843264043444543177e+01,2.809195488989009173e+05,2.950039438996121532e-01,8.501271087324965316e-04,6.109185312721706598e-05
5.306886488919243305e+01,1.161059673907218723e+02,7.737396719784149468e+01,7.843222672684851204e+01,2.808999248586118920e+05,2.950039497702751645e-01,8.501212380694980492e-04,6.109185312721706598e-05
5.313122548248173160e+01,1.160983943822543409e+02,7.737398926173774782e+01,7.843181343272074457e+01,2.808803056015906041e+05,2.950039556406630070e-01,8.501153676816451416e-04,6.109185312721706598e-05
5.319358607577103015e+01,1.160908232566679743e+02,7.737401131656369557e+01,7.843140055194268712e+01,2.808606911238124594e+05,2.950039615107761248e-01,8.501094975685208246e-04,6.109185312721706598e-05
5.325594666906032870e+01,1.160832540129582497e+02,7.737403336232620177e+01,7.843098808295461311e+01,2.808410814227353549e+05,2.950039673806147955e-01,8.501036277298596854e-04,6.109185312721706598e-05
5.331830726234962725e+01,1.160756866497663964e+02,7.737405539903440399e+01,7.843057602429230712e+01,2.808214764949195087e+05,2.950039732501793521e-01,8.500977581653049132e-04,6.109185312721706598e-05
5.338066785563892580e+01,1.160681211654496252e+02,7.737407742669947197e+01,7.843016437589534462e+01,2.808018763362042373e+05,2.950039791194702388e-01,8.500918888744226102e-04,6.109185312721706598e-05
5.344302844892821724e+01,1.160605575594432821e+02,7.737409944532525685e+01,7.842975313555996308e+01,2.807822809451636858e+05,2.950039849884876220e-01,8.500860198570664092e-04,6.109185312721706598e-05
5.350538904221751579e+01,1.160529958302831091e+02,7.737412145492166360e+01,7.842934230376653204e+01,2.807626903180895606e+05,2.950039908572318348e-01,8.500801511128471899e-04,6.109185312721706598e-05
5.356774963550681434e+01,1.160454359764700456e+02,7.737414345549886718e+01,7.842893187763155538e+01,2.807431044511849759e+05,2.950039967257033213e-01,8.500742826413688934e-04,6.109185312721706598e-05
5.363011022879611289e+01,1.160378779965710834e+02,7.737416544706657362e+01,7.842852185788873953e+01,2.807235233408202766e+05,2.950040025939024146e-01,8.500684144422516152e-04,6.109185312721706598e-05
5.369247082208541144e+01,1.160303218894255650e+02,7.737418742963266993e+01,7.842811224172669426e+01,2.807039469840565580e+05,2.950040084618295033e-01,8.500625465151872250e-04,6.109185312721706598e-05
5.375483141537470999e+01,1.160227676541613278e+02,7.737420940320303941e+01,7.842770302999295495e+01,2.806843753786879824e+05,2.950040143294847539e-01,8.500566788599472814e-04,6.109185312721706598e-05
5.381719200866400854e+01,1.160152152892127759e+02,7.737423136778834021e+01,7.842729422007366225e+01,2.806648085207471158e+05,2.950040201968686104e-01,8.500508114761126319e-04,6.109185312721706598e-05
5.387955260195330709e+01,1.160076647930548859e+02,7.737425332339888939e+01,7.842688581206286358e+01,2.806452464063702500e+05,2.950040260639814615e-01,8.500449443632790859e-04,6.109185312721706598e-05
5.394191319524260564e+01,1.160001161649259274e+02,7.737427527003983130e+01,7.842647780406096558e+01,2.806256890336309443e+05,2.950040319308234738e-01,8.500390775212422713e-04,6.109185312721706598e-05
5.400427378853190419e+01,1.159925694030942509e+02,7.737429720772294672e+01,7.842607019560188064e+01,2.806061363981394097e+05,2.950040377973952022e-01,8.500332109495410769e-04,6.109185312721706598e-05
5.406663438182119563e+01,1.159850245066365630e+02,7.737431913645447423e+01,7.842566298572822348e+01,2.805865884975595982e+05,2.950040436636968133e-01,8.500273446479300393e-04,6.109185312721706598e-05
5.412899497511049418e+01,1.159774814743831541e+02,7.737434105624234348e+01,7.842525617330544208e+01,2.805670453289280413e+05,2.950040495297286403e-01,8.500214786160956073e-04,6.109185312721706598e-05
5.419135556839979273e+01,1.159699403044459700e+02,7.737436296709935846e+01,7.842484975675503733e+01,2.805475068874577410e+05,2.950040553954911826e-01,8.500156128535313500e-04,6.109185312721706598e-05
5.425371616168909128e+01,1.159624009962469557e+02,7.737438486902944135e+01,7.842444373595721174e+01,2.805279731716883834e+05,2.950040612609846069e-01,8.500097473600852624e-04,6.109185312721706598e-05
5.431607675497838983e+01,1.159548635484909340e+02,7.737440676204137446e+01,7.842403810977043577e+01,2.805084441783373477e+05,2.950040671262093017e-01,8.500038821354086649e-04,6.109185312721706598e-05
5.437843734826768838e+01,1.159473279598258273e+02,7.737442864614429539e+01,7.842363287688357332e+01,2.804889199039783562e+05,2.950040729911655446e-01,8.499980171791391087e-04,6.109185312721706598e-05
5.444079794155698693e+01,1.159397942286334739e+02,7.737445052134918910e+01,7.842322803652497498e+01,2.804694003445082926e+05,2.950040788558538352e-01,8.499921524908393353e-04,6.109185312721706598e-05
5.450315853484628548e+01,1.159322623541687136e+02,7.737447238766111468e+01,7.842282358718526325e+01,2.804498854980418109e+05,2.950040847202743399e-01,8.499862880703107186e-04,6.109185312721706598e-05
5.456551912813558403e+01,1.159247323349889172e+02,7.737449424508984919e+01,7.842241952873480670e+01,2.804303753609214909e+05,2.950040905844275030e-01,8.499804239171643554e-04,6.109185312721706598e-05
5.462787972142487547e+01,1.159172041700053626e+02,7.737451609364275384e+01,7.842201585919939077e+01,2.804108699303886387e+05,2.950040964483135464e-01,8.499745600311064270e-04,6.109185312721706598e-05
5.469024031471417402e+01,1.159096778581196077e+02,7.737453793332728935e+01,7.842161257847774891e+01,2.803913692036599969e+05,2.950041023119328032e-01,8.499686964118415965e-04,6.109185312721706598e-05
5.475260090800347257e+01,1.159021533976409870e+02,7.737455976415490966e+01,7.842120968564590555e+01,2.803718731764470576e+05,2.950041081752857175e-01,8.499628330589105961e-04,6.109185312721706598e-05
5.481496150129277112e+01,1.158946307880328135e+02,7.737458158612925274e+01,7.842080717892909547e+01,2.803523818473936408e+05,2.950041140383724558e-01,8.499569699721704194e-04,6.109185312721706598e-05
5.487732209458206967e+01,1.158871100273849351e+02,7.737460339926326469e+01,7.842040505757645974e+01,2.803328952116530854e+05,2.950041199011935178e-01,8.499511071511020588e-04,6.109185312721706598e-05
5.493968268787136822e+01,1.158795911148626914e+02,7.737462520356258722e+01,7.842000332114376704e+01,2.803134132671113475e+05,2.950041257637491254e-01,8.499452445954783740e-04,6.109185312721706598e-05
5.500204328116066677e+01,1.158720740488853096e+02,7.737464699903794951e+01,7.841960196832589247e+01,2.802939360097589670e+05,2.950041316260397228e-01,8.499393823048712136e-04,6.109185312721706598e-05
5.506440387444996531e+01,1.158645588288447783e+02,7.737466878569345852e+01,7.841920099812440981e+01,2.802744634380571079e+05,2.950041374880654765e-01,8.499335202791152366e-04,6.109185312721706598e-05
