Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
17.800	0.043292	73.575	0.013592	-24.552	-23.964	-1.2135	5.4833	8.4882	1184.9	-1.2124	1.6650e-05	0.097992	0.0023643	0.62317	1.6047	362.65	432.12	24.409	6.3644	11.225	339.83	21.359	9.2293e-07	0.014457
17.900	0.044925	73.476	0.013610	-23.707	-23.096	-1.1661	5.4909	8.5335	1182.5	-1.2025	1.6494e-05	0.098322	0.0023479	0.64398	1.5528	363.09	432.86	24.306	6.3672	11.249	340.56	21.218	9.2900e-07	0.014556
18.000	0.046602	73.377	0.013628	-22.858	-22.223	-1.1188	5.4984	8.5790	1180.2	-1.1926	1.6340e-05	0.098643	0.0023315	0.66529	1.5031	363.53	433.58	24.204	6.3700	11.274	341.28	21.079	9.3507e-07	0.014655
18.100	0.048325	73.277	0.013647	-22.005	-21.345	-1.0715	5.5059	8.6249	1177.8	-1.1828	1.6189e-05	0.098955	0.0023151	0.68709	1.4554	363.97	434.30	24.102	6.3728	11.299	341.99	20.942	9.4113e-07	0.014754
18.200	0.050095	73.176	0.013666	-21.147	-20.462	-1.0242	5.5132	8.6711	1175.4	-1.1729	1.6041e-05	0.099258	0.0022987	0.70940	1.4096	364.40	435.02	24.002	6.3756	11.324	342.70	20.807	9.4718e-07	0.014853
18.300	0.051911	73.075	0.013685	-20.285	-19.574	-0.97686	5.5205	8.7177	1172.9	-1.1630	1.5895e-05	0.099552	0.0022823	0.73223	1.3657	364.83	435.72	23.903	6.3784	11.351	343.40	20.675	9.5323e-07	0.014953
18.400	0.053775	72.974	0.013704	-19.418	-18.681	-0.92959	5.5277	8.7645	1170.5	-1.1530	1.5751e-05	0.099836	0.0022660	0.75557	1.3235	365.25	436.42	23.804	6.3813	11.378	344.09	20.544	9.5927e-07	0.015052
18.500	0.055688	72.871	0.013723	-18.547	-17.783	-0.88233	5.5349	8.8118	1168.1	-1.1431	1.5610e-05	0.10011	0.0022496	0.77944	1.2830	365.67	437.12	23.707	6.3842	11.405	344.78	20.415	9.6531e-07	0.015152
18.600	0.057650	72.769	0.013742	-17.672	-16.880	-0.83509	5.5420	8.8594	1165.6	-1.1332	1.5470e-05	0.10038	0.0022333	0.80384	1.2440	366.08	437.80	23.610	6.3872	11.433	345.46	20.287	9.7134e-07	0.015253
18.700	0.059662	72.665	0.013762	-16.793	-15.972	-0.78786	5.5490	8.9074	1163.1	-1.1232	1.5333e-05	0.10064	0.0022169	0.82879	1.2066	366.49	438.48	23.514	6.3902	11.461	346.13	20.162	9.7738e-07	0.015353
18.800	0.061725	72.561	0.013781	-15.908	-15.058	-0.74064	5.5560	8.9557	1160.6	-1.1133	1.5198e-05	0.10089	0.0022006	0.85429	1.1706	366.90	439.15	23.419	6.3932	11.491	346.80	20.038	9.8341e-07	0.015454
18.900	0.063840	72.457	0.013801	-15.020	-14.139	-0.69343	5.5629	9.0045	1158.1	-1.1033	1.5065e-05	0.10113	0.0021842	0.88034	1.1359	367.30	439.82	23.325	6.3963	11.520	347.46	19.916	9.8945e-07	0.015555
19.000	0.066006	72.352	0.013821	-14.127	-13.214	-0.64623	5.5698	9.0536	1155.5	-1.0933	1.4934e-05	0.10137	0.0021679	0.90696	1.1026	367.70	440.47	23.232	6.3994	11.551	348.11	19.795	9.9548e-07	0.015656
19.100	0.068226	72.246	0.013842	-13.229	-12.285	-0.59904	5.5767	9.1032	1153.0	-1.0832	1.4805e-05	0.10159	0.0021516	0.93415	1.0705	368.09	441.12	23.140	6.4026	11.582	348.76	19.676	1.0015e-06	0.015758
19.200	0.070500	72.140	0.013862	-12.327	-11.349	-0.55185	5.5835	9.1532	1150.4	-1.0732	1.4678e-05	0.10181	0.0021353	0.96192	1.0396	368.48	441.77	23.048	6.4058	11.613	349.40	19.558	1.0076e-06	0.015860
19.300	0.072828	72.033	0.013883	-11.420	-10.409	-0.50466	5.5902	9.2036	1147.8	-1.0631	1.4553e-05	0.10202	0.0021190	0.99027	1.0098	368.86	442.40	22.957	6.4091	11.645	350.04	19.442	1.0136e-06	0.015963
19.400	0.075211	71.925	0.013903	-10.508	-9.4625	-0.45747	5.5970	9.2544	1145.2	-1.0530	1.4430e-05	0.10222	0.0021027	1.0192	0.98114	369.24	443.03	22.867	6.4125	11.678	350.67	19.327	1.0197e-06	0.016066
19.500	0.077651	71.817	0.013924	-9.5920	-8.5108	-0.41028	5.6037	9.3057	1142.6	-1.0429	1.4308e-05	0.10242	0.0020864	1.0488	0.95349	369.61	443.65	22.777	6.4159	11.712	351.29	19.214	1.0257e-06	0.016169
