Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
263.00	0.10000	1.4650	0.68260	170.50	238.76	6.2955	0.65420	0.91582	308.95	3.4019	1.8471e-05	0.023660	0
264.00	0.10000	1.4594	0.68520	171.16	239.68	6.2990	0.65429	0.91590	309.53	3.3783	1.8529e-05	0.023741	0
265.00	0.10000	1.4539	0.68781	171.81	240.59	6.3024	0.65438	0.91597	310.12	3.3549	1.8587e-05	0.023823	0
266.00	0.10000	1.4484	0.69042	172.47	241.51	6.3059	0.65448	0.91606	310.70	3.3318	1.8645e-05	0.023904	0
267.00	0.10000	1.4430	0.69302	173.12	242.43	6.3093	0.65458	0.91614	311.28	3.3088	1.8702e-05	0.023986	0
268.00	0.10000	1.4375	0.69563	173.78	243.34	6.3127	0.65468	0.91622	311.85	3.2861	1.8760e-05	0.024067	0
269.00	0.10000	1.4322	0.69824	174.43	244.26	6.3162	0.65478	0.91631	312.43	3.2635	1.8817e-05	0.024149	0
270.00	0.10000	1.4269	0.70084	175.09	245.17	6.3196	0.65488	0.91640	313.01	3.2412	1.8875e-05	0.024230	0
271.00	0.10000	1.4216	0.70345	175.75	246.09	6.3229	0.65499	0.91648	313.58	3.2191	1.8932e-05	0.024311	0
272.00	0.10000	1.4163	0.70606	176.40	247.01	6.3263	0.65509	0.91658	314.15	3.1971	1.8989e-05	0.024393	0
273.00	0.10000	1.4111	0.70866	177.06	247.92	6.3297	0.65520	0.91667	314.73	3.1754	1.9046e-05	0.024474	0
274.00	0.10000	1.4059	0.71127	177.71	248.84	6.3330	0.65531	0.91676	315.30	3.1538	1.9103e-05	0.024555	0
275.00	0.10000	1.4008	0.71388	178.37	249.76	6.3364	0.65542	0.91686	315.87	3.1325	1.9160e-05	0.024636	0
276.00	0.10000	1.3957	0.71648	179.03	250.67	6.3397	0.65553	0.91696	316.43	3.1113	1.9217e-05	0.024717	0
277.00	0.10000	1.3906	0.71909	179.68	251.59	6.3430	0.65565	0.91706	317.00	3.0903	1.9274e-05	0.024799	0
278.00	0.10000	1.3856	0.72170	180.34	252.51	6.3463	0.65576	0.91716	317.57	3.0695	1.9331e-05	0.024880	0
279.00	0.10000	1.3806	0.72430	181.00	253.43	6.3496	0.65588	0.91727	318.13	3.0489	1.9388e-05	0.024961	0
280.00	0.10000	1.3757	0.72691	181.65	254.34	6.3529	0.65600	0.91737	318.69	3.0284	1.9444e-05	0.025042	0
281.00	0.10000	1.3708	0.72951	182.31	255.26	6.3562	0.65612	0.91748	319.26	3.0081	1.9501e-05	0.025123	0
282.00	0.10000	1.3659	0.73212	182.97	256.18	6.3594	0.65624	0.91759	319.82	2.9880	1.9557e-05	0.025204	0
283.00	0.10000	1.3611	0.73473	183.62	257.10	6.3627	0.65637	0.91770	320.38	2.9681	1.9614e-05	0.025285	0
284.00	0.10000	1.3562	0.73733	184.28	258.01	6.3659	0.65649	0.91781	320.94	2.9483	1.9670e-05	0.025366	0
285.00	0.10000	1.3515	0.73994	184.94	258.93	6.3691	0.65662	0.91793	321.49	2.9287	1.9726e-05	0.025446	0
286.00	0.10000	1.3467	0.74254	185.60	259.85	6.3724	0.65675	0.91804	322.05	2.9092	1.9782e-05	0.025527	0
287.00	0.10000	1.3420	0.74515	186.25	260.77	6.3756	0.65688	0.91816	322.61	2.8899	1.9839e-05	0.025608	0
288.00	0.10000	1.3373	0.74775	186.91	261.69	6.3788	0.65701	0.91828	323.16	2.8708	1.9895e-05	0.025689	0
289.00	0.10000	1.3327	0.75036	187.57	262.60	6.3819	0.65714	0.91841	323.71	2.8518	1.9950e-05	0.025770	0
290.00	0.10000	1.3281	0.75296	188.23	263.52	6.3851	0.65728	0.91853	324.27	2.8330	2.0006e-05	0.025850	0
291.00	0.10000	1.3235	0.75557	188.88	264.44	6.3883	0.65742	0.91866	324.82	2.8144	2.0062e-05	0.025931	0
292.00	0.10000	1.3190	0.75818	189.54	265.36	6.3914	0.65756	0.91878	325.37	2.7958	2.0118e-05	0.026012	0
293.00	0.10000	1.3144	0.76078	190.20	266.28	6.3946	0.65770	0.91891	325.91	2.7775	2.0174e-05	0.026093	0
294.00	0.10000	1.3100	0.76339	190.86	267.20	6.3977	0.65784	0.91904	326.46	2.7593	2.0229e-05	0.026173	0
295.00	0.10000	1.3055	0.76599	191.52	268.12	6.4008	0.65798	0.91918	327.01	2.7412	2.0285e-05	0.026254	0
296.00	0.10000	1.3011	0.76860	192.18	269.04	6.4039	0.65813	0.91931	327.55	2.7233	2.0340e-05	0.026335	0
297.00	0.10000	1.2967	0.77120	192.84	269.96	6.4070	0.65827	0.91945	328.10	2.7055	2.0395e-05	0.026415	0
298.00	0.10000	1.2923	0.77381	193.49	270.88	6.4101	0.65842	0.91958	328.64	2.6879	2.0451e-05	0.026496	0
299.00	0.10000	1.2880	0.77641	194.15	271.80	6.4132	0.65857	0.91972	329.18	2.6704	2.0506e-05	0.026576	0
