Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
273.00	0.10000	1.7616	0.56767	85.048	141.82	3.8297	0.31244	0.52183	307.77	4.3048	2.0946e-05	0.016364	0
274.00	0.10000	1.7551	0.56976	85.361	142.34	3.8316	0.31244	0.52182	308.34	4.2763	2.1011e-05	0.016415	0
275.00	0.10000	1.7487	0.57185	85.675	142.86	3.8335	0.31243	0.52180	308.90	4.2480	2.1076e-05	0.016466	0
276.00	0.10000	1.7424	0.57394	85.988	143.38	3.8354	0.31243	0.52179	309.46	4.2200	2.1141e-05	0.016517	0
277.00	0.10000	1.7360	0.57602	86.301	143.90	3.8373	0.31243	0.52178	310.03	4.1923	2.1206e-05	0.016567	0
278.00	0.10000	1.7298	0.57811	86.614	144.42	3.8392	0.31243	0.52177	310.59	4.1647	2.1271e-05	0.016618	0
279.00	0.10000	1.7236	0.58020	86.927	144.95	3.8411	0.31242	0.52175	311.15	4.1375	2.1336e-05	0.016668	0
280.00	0.10000	1.7174	0.58229	87.240	145.47	3.8429	0.31242	0.52174	311.70	4.1104	2.1400e-05	0.016719	0
281.00	0.10000	1.7112	0.58437	87.553	145.99	3.8448	0.31242	0.52173	312.26	4.0836	2.1465e-05	0.016769	0
282.00	0.10000	1.7051	0.58646	87.866	146.51	3.8466	0.31242	0.52172	312.82	4.0570	2.1529e-05	0.016819	0
283.00	0.10000	1.6991	0.58855	88.179	147.03	3.8485	0.31242	0.52170	313.37	4.0307	2.1594e-05	0.016870	0
284.00	0.10000	1.6931	0.59063	88.492	147.56	3.8503	0.31241	0.52169	313.93	4.0046	2.1658e-05	0.016920	0
285.00	0.10000	1.6871	0.59272	88.805	148.08	3.8522	0.31241	0.52168	314.48	3.9787	2.1722e-05	0.016970	0
286.00	0.10000	1.6812	0.59481	89.118	148.60	3.8540	0.31241	0.52167	315.03	3.9530	2.1786e-05	0.017020	0
287.00	0.10000	1.6753	0.59689	89.431	149.12	3.8558	0.31241	0.52166	315.59	3.9276	2.1850e-05	0.017070	0
288.00	0.10000	1.6695	0.59898	89.744	149.64	3.8576	0.31241	0.52165	316.14	3.9023	2.1914e-05	0.017120	0
289.00	0.10000	1.6637	0.60107	90.057	150.16	3.8594	0.31240	0.52164	316.69	3.8773	2.1978e-05	0.017170	0
290.00	0.10000	1.6579	0.60316	90.370	150.69	3.8612	0.31240	0.52162	317.24	3.8525	2.2042e-05	0.017219	0
291.00	0.10000	1.6522	0.60524	90.682	151.21	3.8630	0.31240	0.52161	317.78	3.8279	2.2106e-05	0.017269	0
292.00	0.10000	1.6466	0.60733	90.995	151.73	3.8648	0.31240	0.52160	318.33	3.8035	2.2169e-05	0.017319	0
293.00	0.10000	1.6409	0.60942	91.308	152.25	3.8666	0.31240	0.52159	318.88	3.7793	2.2233e-05	0.017368	0
294.00	0.10000	1.6353	0.61150	91.621	152.77	3.8684	0.31239	0.52158	319.42	3.7553	2.2296e-05	0.017418	0
295.00	0.10000	1.6298	0.61359	91.934	153.29	3.8701	0.31239	0.52157	319.97	3.7314	2.2360e-05	0.017468	0
296.00	0.10000	1.6242	0.61568	92.247	153.81	3.8719	0.31239	0.52156	320.51	3.7078	2.2423e-05	0.017517	0
297.00	0.10000	1.6187	0.61776	92.560	154.34	3.8737	0.31239	0.52155	321.05	3.6844	2.2486e-05	0.017566	0
298.00	0.10000	1.6133	0.61985	92.873	154.86	3.8754	0.31239	0.52154	321.59	3.6612	2.2550e-05	0.017616	0
